ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
LPLA,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,267.63,259.15,299.0,300.74,11,3.7,FAVORABLE,273.09,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:34:47.648200
KURA,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,10.13,8.8,10.64,,75,0.38,FAVORABLE,10.34,LIMIT,5,CONVICTION,2026-06-01,2026-06-01T05:35:12.398587
ACDC,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,5.99,5.33,6.29,,152,0.46,FAVORABLE,6.11,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:36:52.945343
TPL,SHORT,CONVICTION,64.0,BEAR_REJECTION_PENDING,398.28,403.41,367.11,367.11,19,6.08,FAVORABLE,396.44,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:40:38.421005
AVAH,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,7.06,6.74,7.67,7.97,312,1.92,FAVORABLE,7.2,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:40:51.472902
GOVX,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,2.14,1.86,2.24,,360,0.38,FAVORABLE,2.1804,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:44:39.342969
NAKA,LONG,CONVICTION,63.9,BULL_BOUNCE_PENDING,6.17,5.4,6.48,,128,0.4,FAVORABLE,6.3,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:33:30.784962
UAVS,LONG,CONVICTION,63.9,BULL_BOUNCE_PENDING,1.17,1.14,1.29,1.29,4317,5.39,FAVORABLE,1.1889,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:40:15.216624
DFTX,LONG,CONVICTION,63.7,BULL_BOUNCE_PENDING,23.53,22.82,24.71,,140,1.65,FAVORABLE,24.01,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:32:25.520727
SAFX,LONG,CONVICTION,63.7,BULL_BOUNCE_CONFIRMED,0.48,0.43,0.51,,2021,0.49,FAVORABLE,0.4818,LIMIT,0,NONE,2026-06-01,2026-06-01T05:33:32.320535
CTRI,LONG,CONVICTION,63.7,BULL_BOUNCE_PENDING,30.38,28.7,31.9,,59,0.91,FAVORABLE,31.0,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:37:27.439559
CRK,SHORT,CONVICTION,63.7,BEAR_REJECTION_PENDING,13.74,14.01,12.18,11.6,370,5.78,FAVORABLE,13.52,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:41:03.898000
PBF,LONG,CONVICTION,63.6,BULL_BOUNCE_PENDING,39.89,38.52,43.14,46.19,73,2.38,FAVORABLE,40.7,LIMIT,5,VACUUM,2026-06-01,2026-06-01T05:35:19.359555
AMN,LONG,CONVICTION,63.5,BULL_BOUNCE_PENDING,28.39,27.52,29.9,30.95,114,1.73,FAVORABLE,28.97,LIMIT,3,COMPRESSION,2026-06-01,2026-06-01T05:32:38.919599
DUOL,SHORT,CONVICTION,63.4,BEAR_REJECTION_PENDING,115.48,121.3,104.77,102.02,17,1.84,FAVORABLE,113.22,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:35:03.405984
TSSI,LONG,CONVICTION,63.3,BULL_BOUNCE_PENDING,15.97,15.25,18.61,,137,3.62,FAVORABLE,16.3,LIMIT,4,COMPRESSION,2026-06-01,2026-06-01T05:30:52.317636
